Year,World Fatal Airliner Hull-loss Accidents
1942,29
1943,37
1944,40
1945,35
1946,72
1947,82
1948,99
1949,79
1950,69
1951,69
1952,61
1953,73
1954,55
1955,62
1956,55
1957,74
1958,71
1959,73
1960,74
1961,64
1962,70
1963,57
1964,49
1965,55
1966,62
1967,66
1968,65
1969,71
1970,78
1971,51
1972,72
1973,69
1974,68
1975,56
1976,66
1977,61
1978,63
1979,77
1980,48
1981,46
1982,37
1983,36
1984,39
1985,42
1986,45
1987,45
1988,59
1989,66
1990,48
1991,54
1992,60
1993,51
1994,58
1995,58
1996,57
1997,46
1998,45
1999,44
2000,43
2001,35
2002,43
2003,33
2004,34
2005,40
2006,33
2007,31
2008,33
2009,31
2010,32
2011,36
2012,23
2013,29
2014,20
2015,14
2016,17
2017,14
2018,18
2019,20
