year,miles,fare
1979,1947,441.77
1980,1894,467.22
1981,1899,456.83
1982,1942,421.05
1983,1955,425.35
1984,1928,426.68
1985,1968,391.95
1986,1973,354.19
1987,2032,360.18
1988,2023,369.99
1989,2054,387.67
1990,2029,378.83
1991,2045,364.22
1992,2064,346.82
1993,2023,352.58
1994,2028,316.4
1995,2008,314.77
1996,2030,314.11
1997,2063,309.77
1998,2087,312.19
1999,2108,308.85
2000,2144,314.64
2001,2193,283.34
2002,2245,261.45
2003,2281,258.48
2004,2291,244.48
2005,2291,241.67
2006,2290,254.95
2007,2276,246.75
2008,2287,254.45
2009,2314,229.8
2010,2341,248.82
2011,2347,262.55
2012,2352,265.96
2013,2366,268.24
2014,2375,273.68
2015,2384,263.91
