Year,World Hijacking Fatalities
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,26
1949,1
1950,0
1951,0
1952,2
1953,0
1954,1
1955,0
1956,1
1957,0
1958,19
1959,1
1960,3
1961,3
1962,0
1963,0
1964,0
1965,1
1966,2
1967,0
1968,1
1969,5
1970,7
1971,8
1972,25
1973,88
1974,83
1975,2
1976,15
1977,114
1978,3
1979,0
1980,1
1981,6
1982,1
1983,12
1984,33
1985,65
1986,87
1987,2
1988,12
1989,1
1990,86
1991,6
1992,4
1993,4
1994,8
1995,1
1996,125
1997,1
1998,1
1999,2
2000,5
2001,268
2002,2
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,3
2013,0
2014,0
2015,0
2016,0
2017,0
2018,0
2019,1
