year,value
1942,320
1943,301
1944,324
1945,308
1946,840
1947,1083
1948,1302
1949,1099
1950,1118
1951,951
1952,817
1953,972
1954,701
1955,624
1956,836
1957,970
1958,1226
1959,1080
1960,1481
1961,1344
1962,1681
1963,1267
1964,1016
1965,1131
1966,1468
1967,1334
1968,1390
1969,1676
1970,1475
1971,1433
1972,2373
1973,2028
1974,1994
1975,1191
1976,1627
1977,1652
1978,1259
1979,1776
1980,1300
1981,907
1982,1175
1983,862
1984,676
1985,2010
1986,817
1987,1109
1988,1147
1989,1554
1990,702
1991,1148
1992,1544
1993,1134
1994,1452
1995,1207
1996,1843
1997,1162
1998,1191
1999,478
2000,1148
2001,801
2002,1112
2003,703
2004,459
2005,1075
2006,905
2007,773
2008,588
2009,760
2010,943
2011,524
2012,475
2013,265
2014,691
2015,186
2016,258
2017,59
2018,561
2019,268
