year,nominal,real
1979,186.22,607.3117485
1980,223.53,642.2712618
1981,241.25,628.0093036
1982,236.05,578.826594
1983,245.99,584.7261569
1984,257.54,586.55873
1985,244.92,538.8057903
1986,225.63,486.902678
1987,237.66,495.1457433
1988,254.14,508.6280928
1989,279.04,532.9276313
1990,287.61,521.0606187
1991,287.78,500.2752455
1992,282.25,476.1807025
1993,295.48,484.12294
1994,271.68,433.8668656
1995,277.36,430.851475
1996,284.48,429.3044012
1997,288.16,424.92403
1998,299.3,434.6283716
1999,298.47,424.1214928
2000,314.46,432.2875367
2001,291.09,389.1985861
2002,272.88,359.1207423
2003,276.38,355.5568617
2004,268.73,336.7333081
2005,274.26,332.471094
2006,298.98,351.1255011
2007,298.08,340.2997577
2008,319.2,351.0200526
2009,287.55,317.2303759
2010,316.27,343.2973103
2011,343.46,361.4506892
2012,355.75,366.7695732
2013,364.22,370.082866
2014,377.39,377.39
